	id сделки	брокер	тикер	валюта	тип сделки	цена покупки	цель 1	цель 2	цель 3	стоп	дата покупки	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	ошибка
10	10	-1001735653757	#MVID	валюта	L	цена покупки	2	18	225	195	2022-06-28 08:27:51+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
11	11	-1001735653757	#ALRS	валюта	L	цена покупки	73,24	74,68	76,11	69,65	2022-06-28 13:00:35+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
12	12	-1001735653757	#SPBE	валюта	L	цена покупки	3,54	3,68	,82	3,1	2022-06-29 11:18:43+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
13	13	-1001735653757	#PBF	валюта	L	цена покупки	36,09	37,48	8,5	32,60	2022-06-29 12:09:18+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
14	14	-1001735653757	#BYND	валюта	L	цена покупки	24,44	5,15	25,60	22,52	2022-06-29 15:53:50+00:00	2022-06-30 15:29:19+00:00	2022-07-01 17:33:45+00:00	2022-07-01 17:41:20+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
15	15	-1001735653757	#VKCO	валюта	S	цена покупки	320,7	315,83	12,57	332,70	2022-06-30 07:14:14+00:00	2022-06-30 07:54:50+00:00	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
17	17	-1001735653757	#GAZP	валюта	L	цена покупки	233,03	44,09	255,18	203,87	2022-06-30 10:01:59+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
19	19	-1001735653757	#BZUN	валюта	L	цена покупки	,25	11,47	11,58	10,69	2022-07-01 15:04:30+00:00	2022-07-01 18:48:32+00:00	2022-07-05 12:09:59+00:00	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
21	21	-1001735653757	#AMD	валюта	L	цена покупки	74,97	76,44	77,16	71,30	2022-07-01 17:38:05+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
24	24	-1001735653757	#SNGSP	валюта	L	цена покупки	36,5	37,	7,94	34,72	2022-07-04 11:11:00+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
25	25	-1001735653757	#MSTT	валюта	L	цена покупки	83	86	89	75	2022-07-04 14:10:02+00:00	2022-07-04 14:59:39+00:00	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
27	27	-1001735653757	#MDMG	валюта	L	цена покупки	422	435	447	385	2022-07-05 08:35:20+00:00	2022-07-05 11:26:47+00:00	2022-07-07 08:09:56+00:00	2022-07-07 08:48:21+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
30	30	-1001735653757	#MRKU	валюта	L	цена покупки	0,6	0,164	0,167	0,152	2022-07-05 13:42:25+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
31	31	-1001735653757	#FSLY	валюта	L	цена покупки	3,02	13,40	1,66	12,01	2022-07-05 18:13:32+00:00	2022-07-06 13:31:51+00:00	2022-07-06 13:47:33+00:00	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
32	32	-1001735653757	#ALRS	валюта	L	цена покупки	66,50	67,80	69,11	63,24	2022-07-06 07:12:08+00:00	2022-07-08 15:47:51+00:00	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
35	35	-1001735653757	#RTKM	валюта	L	цена покупки	68,3	70,0	72,19	62,91	2022-07-06 13:55:46+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
37	37	-1001735653757	#DSKY	валюта	L	цена покупки	76,52	78,75	80,24	70,56	2022-07-07 08:21:03+00:00	2022-07-08 07:17:57+00:00	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
39	39	-1001735653757	#NVTK	валюта	L	цена покупки	024	1044	1065	974	2022-07-07 09:50:00+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
